,LOCATION,TIME,Value
2915,KOR,1981,7.24611911
2916,KOR,1982,8.338135844
2917,KOR,1983,13.37617449
2918,KOR,1984,10.551640355
2919,KOR,1985,7.838864022
2920,KOR,1986,11.327261195999998
2921,KOR,1987,12.723659417
2922,KOR,1988,11.987777059
2923,KOR,1989,7.072865867000001
2924,KOR,1990,9.877576696
2925,KOR,1991,10.778031734
2926,KOR,1992,6.198662675
2927,KOR,1993,6.877472841
2928,KOR,1994,9.268647202
2929,KOR,1995,9.614565393
2930,KOR,1996,7.890703326000001
2931,KOR,1997,6.170565978
2932,KOR,1998,-5.129460275
2933,KOR,1999,11.466928972
2934,KOR,2000,9.060846489
2935,KOR,2001,4.8523995719999995
2936,KOR,2002,7.725142675
2937,KOR,2003,3.1472911939999997
2938,KOR,2004,5.197391363
2939,KOR,2005,4.3085336839999995
2940,KOR,2006,5.264335707
2941,KOR,2007,5.799548415
2942,KOR,2008,3.012984873
2943,KOR,2009,0.79269899
2944,KOR,2010,6.804824918
2945,KOR,2011,3.685667782
2946,KOR,2012,2.402530992
2947,KOR,2013,3.1647086360000003
2948,KOR,2014,3.202453795
2949,KOR,2015,2.8091032680000003
2950,KOR,2016,2.946881715
2951,KOR,2017,3.15963574
2952,KOR,2018,2.907398095
2953,KOR,2019,2.03934834
3433,AUT,1961,5.553999707999999
3434,AUT,1962,2.61711674
3435,AUT,1963,4.154317503
3436,AUT,1964,6.181948247999999
3437,AUT,1965,3.4371634660000003
3438,AUT,1966,4.99613194
3439,AUT,1967,2.382401575
3440,AUT,1968,4.444142923
3441,AUT,1969,5.851775697000001
3442,AUT,1970,7.761314517000001
3443,AUT,1971,5.1120688130000005
3444,AUT,1972,6.209404827999999
3445,AUT,1973,4.886808984
3446,AUT,1974,3.943590583
3447,AUT,1975,-0.36259635100000004
3448,AUT,1976,4.576718045
3449,AUT,1977,4.676806807
3450,AUT,1978,-0.36235672799999996
3451,AUT,1979,5.4545703439999995
3452,AUT,1980,2.31391856
3453,AUT,1981,-0.099385333
3454,AUT,1982,1.9078107380000002
3455,AUT,1983,2.804444906
3456,AUT,1984,0.33158771
3457,AUT,1985,2.243365394
3458,AUT,1986,2.3405187290000002
3459,AUT,1987,1.6804678519999998
3460,AUT,1988,3.166390713
3461,AUT,1989,3.887072212
3462,AUT,1990,4.345637522
3463,AUT,1991,3.441635672
3464,AUT,1992,2.0935288990000003
3465,AUT,1993,0.526806856
3466,AUT,1994,2.4021219819999997
3467,AUT,1995,2.667984199
3468,AUT,1996,2.466644435
3469,AUT,1997,2.093597676
3470,AUT,1998,3.5814216510000003
3471,AUT,1999,3.556328531
3472,AUT,2000,3.3757240239999997
3473,AUT,2001,1.267170595
3474,AUT,2002,1.6515570469999998
3475,AUT,2003,0.9414766090000001
3476,AUT,2004,2.7351211810000002
3477,AUT,2005,2.244071539
3478,AUT,2006,3.4540396510000004
3479,AUT,2007,3.727418015
3480,AUT,2008,1.4604255380000002
3481,AUT,2009,-3.7645809010000004
3482,AUT,2010,1.8370959219999998
3483,AUT,2011,2.922800075
3484,AUT,2012,0.680443782
3485,AUT,2013,0.025502643999999998
3486,AUT,2014,0.661273455
3487,AUT,2015,1.014504245
3488,AUT,2016,2.082607829
3489,AUT,2017,2.476444199
3490,AUT,2018,2.4197636240000002
3491,AUT,2019,1.6005564019999998
4298,IDN,1991,8.927725584
4299,IDN,1992,6.524117989
4300,IDN,1993,7.955437139
4301,IDN,1994,7.539968808999999
4302,IDN,1995,8.220146069
4303,IDN,1996,7.817992464
4304,IDN,1997,4.6999041560000006
4305,IDN,1998,-13.126748574
4306,IDN,1999,0.7911528609999999
4307,IDN,2000,4.920041386
4308,IDN,2001,3.6434664469999998
4309,IDN,2002,4.499475391
4310,IDN,2003,4.780369122
4311,IDN,2004,5.030873945
4312,IDN,2005,5.692571303999999
4313,IDN,2006,5.500951785
4314,IDN,2007,6.345022245
4315,IDN,2008,6.013702502999999
4316,IDN,2009,4.701768517
4317,IDN,2010,6.377625686
4318,IDN,2011,6.169784207999999
4319,IDN,2012,6.030050652999999
4320,IDN,2013,5.557263689
4321,IDN,2014,5.006668426
4322,IDN,2015,4.8763223
4323,IDN,2016,5.033069183
4324,IDN,2017,5.069785901
4325,IDN,2018,5.169705609
4326,IDN,2019,5.0247140219999995
4665,SVK,1994,6.205530283
4666,SVK,1995,5.971993105
4667,SVK,1996,6.619895535
4668,SVK,1997,5.925836799
4669,SVK,1998,4.076099715
4670,SVK,1999,-0.105916496
4671,SVK,2000,1.166527158
4672,SVK,2001,3.2537868430000003
4673,SVK,2002,4.509441533
4674,SVK,2003,5.4990838779999995
4675,SVK,2004,5.278880348
4676,SVK,2005,6.623461609
4677,SVK,2006,8.493176949
4678,SVK,2007,10.832027900999998
4679,SVK,2008,5.57488636
4680,SVK,2009,-5.455532237000001
4681,SVK,2010,5.720844799
4682,SVK,2011,2.864442948
4683,SVK,2012,1.895810812
4684,SVK,2013,0.6708445820000001
4685,SVK,2014,2.7524343310000003
4686,SVK,2015,4.821918506
4687,SVK,2016,2.123319035
4688,SVK,2017,3.0463359530000003
4689,SVK,2018,3.8967444660000004
4690,SVK,2019,2.398568858
4800,FIN,1961,7.605110125
4801,FIN,1962,2.9817708689999995
4802,FIN,1963,3.284885937
4803,FIN,1964,5.238910981
4804,FIN,1965,5.302957387
4805,FIN,1966,2.372564531
4806,FIN,1967,2.168752561
4807,FIN,1968,2.30326052
4808,FIN,1969,9.593569081
4809,FIN,1970,7.584324329
4810,FIN,1971,2.0636174919999997
4811,FIN,1972,7.599717257000001
4812,FIN,1973,6.60078005
4813,FIN,1974,3.074182762
4814,FIN,1975,1.06907106
4815,FIN,1976,0.265728239
4816,FIN,1977,0.333786978
4817,FIN,1978,2.6000171340000002
4818,FIN,1979,6.981728106
4819,FIN,1980,5.1160310110000005
4820,FIN,1981,1.269660558
4821,FIN,1982,3.024378322
4822,FIN,1983,2.948641917
4823,FIN,1984,3.042766948
4824,FIN,1985,3.28163959
4825,FIN,1986,2.625254406
4826,FIN,1987,3.558129477
4827,FIN,1988,5.100336152
4828,FIN,1989,5.415935722
4829,FIN,1990,0.082747207
4830,FIN,1991,-5.886240227
4831,FIN,1992,-3.294276892
4832,FIN,1993,-0.6622284820000001
4833,FIN,1994,3.963752928
4834,FIN,1995,4.216678667
4835,FIN,1996,3.667308771
4836,FIN,1997,6.334234976
4837,FIN,1998,5.456998761
4838,FIN,1999,4.379653907
4839,FIN,2000,5.773365753999999
4840,FIN,2001,2.6097474480000002
4841,FIN,2002,1.707101815
4842,FIN,2003,2.003701569
4843,FIN,2004,3.9917428630000003
4844,FIN,2005,2.7796369710000004
4845,FIN,2006,4.028029789
4846,FIN,2007,5.299005366
4847,FIN,2008,0.784016829
4848,FIN,2009,-8.074615579
4849,FIN,2010,3.185911569
4850,FIN,2011,2.547530336
4851,FIN,2012,-1.3973545630000002
4852,FIN,2013,-0.902018503
4853,FIN,2014,-0.364940273
4854,FIN,2015,0.543559275
4855,FIN,2016,2.811651143
4856,FIN,2017,3.269865631
4857,FIN,2018,1.517584632
4858,FIN,2019,1.14610506
5907,TUR,1999,-3.263168697
5908,TUR,2000,6.933239832999999
5909,TUR,2001,-5.750006476
5910,TUR,2002,6.447721915
5911,TUR,2003,5.7632062479999995
5912,TUR,2004,9.795936407000001
5913,TUR,2005,8.992305021
5914,TUR,2006,6.947987774
5915,TUR,2007,5.043508088
5916,TUR,2008,0.815024592
5917,TUR,2009,-4.823154055
5918,TUR,2010,8.427104437
5919,TUR,2011,11.20011056
5920,TUR,2012,4.7884926519999995
5921,TUR,2013,8.485817023
5922,TUR,2014,4.939715133
5923,TUR,2015,6.084487003
5924,TUR,2016,3.3230841669999998
5925,TUR,2017,7.501997437000001
5926,TUR,2018,2.9589668110000003
5927,TUR,2019,0.9165347220000001
5928,GRC,1961,11.149556163
5929,GRC,1962,1.533500638
5930,GRC,1963,10.136061900000001
5931,GRC,1964,8.258337142
5932,GRC,1965,9.392667369
5933,GRC,1966,6.099201077999999
5934,GRC,1967,5.48110652
5935,GRC,1968,6.664490313
5936,GRC,1969,9.899628725
5937,GRC,1970,7.954759087999999
5938,GRC,1971,7.842764409
5939,GRC,1972,10.159237799
5940,GRC,1973,8.091400817
5941,GRC,1974,-6.438929739
5942,GRC,1975,6.3684986079999995
5943,GRC,1976,6.850727813
5944,GRC,1977,2.9430831060000004
5945,GRC,1978,7.2446123710000006
5946,GRC,1979,3.283444463
5947,GRC,1980,0.678008928
5948,GRC,1981,-1.556029615
5949,GRC,1982,-1.13023157
5950,GRC,1983,-1.078258627
5951,GRC,1984,2.006681698
5952,GRC,1985,2.513202726
5953,GRC,1986,0.514746511
5954,GRC,1987,-2.2567578740000003
5955,GRC,1988,4.2878890389999995
5956,GRC,1989,3.7989619660000002
5957,GRC,1990,0.00039064199999999996
5958,GRC,1991,3.10168366
5959,GRC,1992,0.6971545490000001
5960,GRC,1993,-1.599127065
5961,GRC,1994,1.9998470480000001
5962,GRC,1995,2.099813496
5963,GRC,1996,2.862128888
5964,GRC,1997,4.4841991310000004
5965,GRC,1998,3.894904782
5966,GRC,1999,3.072596667
5967,GRC,2000,3.919770755
5968,GRC,2001,4.1316120519999995
5969,GRC,2002,3.922871841
5970,GRC,2003,5.794531261
5971,GRC,2004,5.0609925780000005
5972,GRC,2005,0.599142078
5973,GRC,2006,5.652433691000001
5974,GRC,2007,3.27374689
5975,GRC,2008,-0.335172588
5976,GRC,2009,-4.300733649
5977,GRC,2010,-5.479037111
5978,GRC,2011,-9.132494135
5979,GRC,2012,-7.300493949
5980,GRC,2013,-3.2414250339999997
5981,GRC,2014,0.7397771470000001
5982,GRC,2015,-0.437833949
5983,GRC,2016,-0.190952292
5984,GRC,2017,1.5050993430000001
5985,GRC,2018,1.934370862
5986,GRC,2019,1.87086967
6325,NZL,1989,0.422120294
6326,NZL,1990,0.020469103
6327,NZL,1991,-1.316890403
6328,NZL,1992,0.698747812
6329,NZL,1993,5.22677952
6330,NZL,1994,5.5835792170000005
6331,NZL,1995,4.8952024860000005
6332,NZL,1996,4.066886638
6333,NZL,1997,2.45873016
6334,NZL,1998,0.307120049
6335,NZL,1999,4.5568391130000006
6336,NZL,2000,4.255410965
6337,NZL,2001,2.560955028
6338,NZL,2002,4.722729656
6339,NZL,2003,4.245034197
6340,NZL,2004,4.765465665
6341,NZL,2005,3.1567086630000003
6342,NZL,2006,2.93553789
6343,NZL,2007,3.300163488
6344,NZL,2008,-0.12036446099999999
6345,NZL,2009,-1.273475133
6346,NZL,2010,1.7576838909999999
6347,NZL,2011,1.7895549569999998
6348,NZL,2012,2.5404501440000002
6349,NZL,2013,2.295805043
6350,NZL,2014,3.560455904
6351,NZL,2015,3.5017496219999997
6352,NZL,2016,3.937200873
6353,NZL,2017,3.068591268
6354,NZL,2018,3.160613386
6355,NZL,2019,2.293732521
6996,ARG,1994,5.836200695
6997,ARG,1995,-2.845209605
6998,ARG,1996,5.526689834
6999,ARG,1997,8.11104676
7000,ARG,1998,3.8501788560000003
7001,ARG,1999,-3.3854570489999998
7002,ARG,2000,-0.788998924
7003,ARG,2001,-4.408839703
7004,ARG,2002,-10.894484806
